"Year","Week","All Deaths","Number of P&I Deaths","Percent of Deaths Due to P&I","Threshold"
2009,40,46519,3641,7.83,7.51
2009,41,46582,3891,8.35,7.61
2009,42,47581,4088,8.59,7.71
2009,43,46573,4070,8.74,7.81
2009,44,47467,4165,8.77,7.92
2009,45,47429,4205,8.87,8.03
2009,46,46629,3938,8.45,8.14
2009,47,46526,3841,8.26,8.25
2009,48,47905,3912,8.17,8.36
2009,49,49392,4089,8.28,8.46
2009,50,49216,4083,8.30,8.56
2009,51,49213,3905,7.93,8.64
2009,52,49833,4372,8.77,8.72
2010,01,51474,4501,8.74,8.79
2010,02,51453,4533,8.81,8.85
2010,03,49996,4351,8.70,8.90
2010,04,48509,4110,8.47,8.93
2010,05,49127,4116,8.38,8.96
2010,06,50182,4170,8.31,8.96
2010,07,50532,4262,8.43,8.96
2010,08,50227,4327,8.61,8.94
2010,09,50389,4373,8.68,8.91
2010,10,50268,4414,8.78,8.86
2010,11,49355,4269,8.65,8.81
2010,12,48346,4117,8.52,8.74
2010,13,48873,4020,8.23,8.66
2010,14,47820,4002,8.37,8.57
2010,15,47134,3743,7.94,8.48
2010,16,46653,3582,7.68,8.38
2010,17,46361,3617,7.80,8.27
2010,18,46315,3544,7.65,8.16
2010,19,46398,3471,7.48,8.04
2010,20,45593,3420,7.50,7.93
2010,21,45567,3260,7.15,7.82
2010,22,45234,3257,7.20,7.71
2010,23,45026,3314,7.36,7.60
2010,24,45197,3179,7.03,7.50
2010,25,44703,3149,7.04,7.41
2010,26,44730,3155,7.05,7.32
2010,27,45657,3223,7.06,7.25
2010,28,44927,3127,6.96,7.19
2010,29,44694,3097,6.93,7.13
2010,30,44350,2967,6.69,7.10
2010,31,44793,3034,6.77,7.07
2010,32,44469,2936,6.60,7.06
2010,33,44461,3019,6.79,7.06
2010,34,44400,2904,6.54,7.07
2010,35,44406,3059,6.89,7.09
2010,36,44913,3178,7.08,7.13
2010,37,45301,3202,7.07,7.19
2010,38,45165,3108,6.88,7.25
2010,39,45357,3228,7.12,7.32
2010,40,46636,3268,7.01,7.40
2010,41,46617,3473,7.45,7.49
2010,42,47142,3435,7.29,7.59
2010,43,46620,3508,7.52,7.69
2010,44,47490,3510,7.39,7.80
2010,45,48474,3618,7.46,7.91
2010,46,48186,3558,7.38,8.02
2010,47,47812,3626,7.58,8.12
2010,48,48954,3873,7.91,8.23
2010,49,50365,3851,7.65,8.33
2010,50,51290,4052,7.90,8.43
2010,51,50928,4125,8.10,8.51
2010,52,52807,4611,8.73,8.59
2011,01,53608,4870,9.08,8.67
2011,02,52850,4791,9.07,8.73
2011,03,52597,4782,9.09,8.77
2011,04,52455,4908,9.36,8.81
2011,05,52201,4811,9.22,8.83
2011,06,52927,4905,9.27,8.84
2011,07,53560,5162,9.64,8.84
2011,08,52444,5186,9.89,8.82
2011,09,52343,5005,9.56,8.79
2011,10,51830,4892,9.44,8.75
2011,11,50859,4648,9.14,8.70
2011,12,49874,4433,8.89,8.63
2011,13,49504,4269,8.62,8.56
2011,14,49860,4140,8.30,8.47
2011,15,48342,4012,8.30,8.38
2011,16,48019,3928,8.18,8.28
2011,17,47592,3709,7.79,8.17
2011,18,47445,3767,7.94,8.06
2011,19,47544,3742,7.87,7.95
2011,20,46690,3587,7.68,7.84
2011,21,46662,3555,7.62,7.73
2011,22,46317,3503,7.56,7.62
2011,23,46594,3465,7.44,7.51
2011,24,46059,3346,7.26,7.41
2011,25,45804,3338,7.29,7.32
2011,26,46030,3351,7.28,7.24
2011,27,45759,3194,6.98,7.16
2011,28,45380,3151,6.94,7.09
2011,29,45774,3193,6.98,7.04
2011,30,45068,3000,6.66,7.00
2011,31,45766,3003,6.56,6.97
2011,32,45366,3032,6.68,6.95
