Date ILI T <T> RH <RH>
01-Jun-2001 0.4 0.70 0.68 0.12 0.38
02-Jun-2001 0.6 0.72 0.70 0.20 0.42
03-Jun-2001 0.6 0.74 0.71 0.24 0.46
04-Jun-2001 0.8 0.76 0.73 0.26 0.49
05-Jun-2001 0.8 0.77 0.75 0.31 0.50
06-Jun-2001 0.9 0.78 0.77 0.36 0.51
07-Jun-2001 1.1 0.80 0.78 0.34 0.52
08-Jun-2001 1.0 0.82 0.80 0.38 0.54
09-Jun-2001 1.0 0.84 0.82 0.43 0.55
10-Jun-2001 1.0 0.86 0.84 0.47 0.57
11-Jun-2001 0.9 0.88 0.86 0.48 0.56
12-Jun-2001 0.9 0.90 0.87 0.47 0.55
13-Jun-2001 0.9 0.92 0.89 0.50 0.57
14-Jun-2001 1.1 0.93 0.90 0.56 0.59
15-Jun-2001 1.0 0.95 0.92 0.51 0.59
16-Jun-2001 1.0 0.96 0.94 0.46 0.60
17-Jun-2001 1.0 0.97 0.95 0.46 0.61
18-Jun-2001 1.0 0.98 0.97 0.42 0.63
19-Jun-2001 1.1 0.99 0.99 0.46 0.64
20-Jun-2001 1.3 0.99 1.00 0.55 0.66
21-Jun-2001 1.4 1.00 1.02 0.59 0.68
22-Jun-2001 1.3 1.01 1.03 0.61 0.70
23-Jun-2001 1.3 1.03 1.05 0.62 0.74
24-Jun-2001 1.3 1.04 1.06 0.59 0.75
25-Jun-2001 1.2 1.05 1.07 0.60 0.76
26-Jun-2001 1.1 1.05 1.09 0.56 0.77
27-Jun-2001 1.1 1.06 1.10 0.52 0.78
28-Jun-2001 0.8 1.08 1.11 0.48 0.78
29-Jun-2001 0.8 1.09 1.13 0.48 0.78
30-Jun-2001 0.8 1.10 1.14 0.55 0.78
01-Jul-2001 0.7 1.12 1.15 0.64 0.81
02-Jul-2001 0.7 1.14 1.16 0.68 0.84
03-Jul-2001 1.0 1.15 1.17 0.66 0.85
04-Jul-2001 1.6 1.17 1.18 0.68 0.86
05-Jul-2001 1.8 1.18 1.19 0.69 0.89
06-Jul-2001 1.8 1.19 1.20 0.71 0.89
07-Jul-2001 1.6 1.19 1.21 0.79 0.90
08-Jul-2001 1.3 1.20 1.22 0.87 0.91
09-Jul-2001 1.4 1.21 1.23 0.94 0.91
10-Jul-2001 1.6 1.22 1.24 0.96 0.91
11-Jul-2001 1.4 1.23 1.25 0.99 0.93
12-Jul-2001 1.2 1.24 1.26 1.00 0.93
13-Jul-2001 0.9 1.25 1.27 1.02 0.92
14-Jul-2001 1.1 1.26 1.27 1.07 0.93
15-Jul-2001 1.2 1.26 1.28 1.08 0.94
16-Jul-2001 1.3 1.27 1.29 1.09 0.94
17-Jul-2001 1.4 1.27 1.29 1.11 0.97
18-Jul-2001 1.6 1.28 1.30 1.12 0.97
19-Jul-2001 1.6 1.29 1.31 1.15 0.97
20-Jul-2001 1.5 1.30 1.31 1.20 0.97
21-Jul-2001 1.6 1.31 1.32 1.24 0.96
22-Jul-2001 1.5 1.32 1.32 1.26 0.96
23-Jul-2001 1.4 1.33 1.33 1.24 0.96
24-Jul-2001 1.4 1.33 1.33 1.21 0.95
25-Jul-2001 1.4 1.34 1.34 1.18 0.94
